"dc:title","dcterms:alternative","dc:creator","dc:subject","dc:description","dc:publisher","dc:contributor","dc:type","dc:format","dc:identifier","dc:source","dc:language","dcterms:isPartOf","dcterms:spatial","dcterms:temporal","dc:rights","1000_pixel_jpg","150_pixel_jpg","SLQ_Digitool_viewer"
"East Coorparoo Estate map dated about 1889","","Unidentified","maps suburbs Brisbane - Suburbs - Coorparoo, ca. 1889 Coorparoo (Brisbane, Qld.)","East Coorparoo Estate map drawn up by surveyor, W.H. Chambers. The estate was for private sale by A. M. McNish of Queen Street, Brisbane. The area was bordered by Old Cleveland Road (on south); Ferguson Road (on west); Stanley Road (on north) and Arrol Street on the east.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 105793 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 697167 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Coorparoo, Brisbane, Queensland; -27.49395,153.060089","ca. 1889","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=104145&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=104146","http://hdl.handle.net/10462/deriv/90627"
"Wendouree Estate map showing an area of Coorparoo for sale about 1892","","Unidentified","maps suburbs Brisbane - Suburbs - Coorparoo, ca. 1892 Coorparoo (Brisbane, Qld.)","Estate map drawn by David Dietrichson showing the area of Coorparoo bounded by Pembroke Road, Old Cleveland Road and Kirkland Avenue. The Wendouree Estate was for private sale by T. Howling & Co., Auctioneers.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 105794 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 697047 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Coorparoo, Brisbane, Queensland; -27.49395,153.060089","ca. 1892","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=104345&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=104346","http://hdl.handle.net/10462/deriv/90201"
"Land Sale map of the Wathana Estate in Paddington, Brisbane, 1927","","Unidentified","suburbs maps handbills advertisements Brisbane - Suburbs - Paddington Paddington (Brisbane, Qld.)","Lot plans of land on Wathana Estate in Upper Paddington. The handbill features the Ithaca State School on Lugg Street and information on the terms of purchase as well as up to date information on tram and bus services.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 109666 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 697679 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Paddington, Brisbane, Queensland; -27.46195,153.006683","25 June, 1927","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=106637&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=106638","http://hdl.handle.net/10462/deriv/92458"
"Coorparoo Heights Estate map, 1916","","Unidentified","maps land sales Brisbane - Suburbs - Coorparoo, 1916 Coorparoo (Brisbane, Qld.)","Area now bounded by Martha Street, Lavington Street, Waverley Road and Kelsey Streets, now Camp Hill. (Description supplied with photograph)","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 105795 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Coorparoo, Brisbane, Queensland; -27.49395,153.060089","1916","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=107717&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=107718","http://hdl.handle.net/10462/deriv/91904"
"Estate map for New Farm, Brisbane, Queensland, ca.1887","","Unidentified","maps land sales land auctions building blocks suburbs Brisbane - Suburbs - New Farm, 1887 New Farm (Brisbane, Qld.)","New Farm Estate map for a land auction showing a plan of allotments to be sold on the 22nd October 1887 by James R. Dickson & Company, Auctioneers. The sale of land allotments covers the streets surrounded by Race Street, Russell Street and Wharf Street on the Brisbane River, Queensland.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg; Original format: estate map : b&w","Negative number: 68778 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","New Farm, Brisbane, Queensland; -27.4659,153.04451","ca.1887","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=109045&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=109046","http://hdl.handle.net/10462/deriv/130003"
"Map of the Hawthorne Estate for sale by auction on the 16th May 1885","","Unidentified","suburbs maps Brisbane - Suburbs - Hawthorne, 1885 Hawthorne (Brisbane, Qld.)","Estate map of Hawthorne drawn up by Richard Unsworth, Licensed Surveyor, including a mud map of the general area. The estate was auctioned by Arthur Martin & Co. Auctioneers.","John Oxley Library, State Library of Queensland","Daily Telegraph","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 114801 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Hawthorne, Brisbane, Queensland; -27.466049,153.059631","16 May 1885","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=119341&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=119342","http://hdl.handle.net/10462/deriv/108528"
"New estate map advertising a land auction at Riverton, Corinda, 1884","","Unidentified","maps plans housing estates building blocks Brisbane - Suburbs - Corinda, 1884 Chelmer (Qld.)","Map shows land available for sale in the township of Reverton, on the Brisbane River. To be sold at auction by E. Hooker and Son on the ground on Saturday 26 July, 1884. The map was drawn by R. D. Graham & Son, licensed surveyors. The land is situated on the Brisbane River at Regatta Reach, opposite the township of Witton. (A supplement to Figaro, 26 July 1884) The area of the auction is now part of the suburb of Chelmer.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 111043 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Chelmer, Brisbane, Queensland; -27.516581,152.977646","1884","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=122105&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=122106","http://hdl.handle.net/10462/deriv/109773"
"Avondale Estate map, Coorparoo, 1887","","Unidentified","plans maps suburbs auctions land sales land auctions Brisbane - Suburbs - Coorparoo, 1887 Coorparoo (Brisbane, Qld.)","Estate map shows a street plan with the lots to be auctioned. There is also an area map on the right side. The land is to be sold by auction on the ground, Saturday April 23rd, 1887 at 2.30 sharp. Arthur Martin & Co., are the auctioneers.","John Oxley Library, State Library of Queensland","Queensland Newspapers Pty Ltd","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 97485 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Coorparoo, Brisbane, Queensland; -27.49395,153.060089","1887","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=128187&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=128189","http://hdl.handle.net/10462/deriv/77876"
"Map of the Stephens Paddock Estate, Highgate Hill, Brisbane, offered for sale in June 1889","","Unidentified","handbills advertisements maps land auctions Brisbane - Suburbs - Highgate Hill, 1890 Highgate Hill (Brisbane, Qld.)","Land bordered by Gloucester Street and Prospect Terrace, south of Brisbane, to be auctioned by G. T. Bell on the 7th of June 1890. This is from the original handbill.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 97487 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 697869 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Highgate Hill, Brisbane, Queensland; -27.487181,153.017548","1889","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=128484&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=128485","http://hdl.handle.net/10462/deriv/78030"
"Land sale handbill of Windsor Castle Estate in Holland Park, offered for sale in 1884","","Unidentified","maps land sales suburbs streets graphics Brisbane - Suburbs - Holland Park, 1884 Holland Park (Brisbane, Qld.)","Lot plan of land in the Holland Park area off Logan Road. The following streets changed their names: Queen to Brodie; Albert to Hockings and Ellen and Alice have changed to Gower and Barton Streets respectively. ( Description supplied with photograph.) The land is on the slopes of Mount Thompson in Holland Park West and the commanding views referred to in the land sale bill are from Dagmar Street looking towards the city.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 97479 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: Bib 697148 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Holland Park, Brisbane, Queensland; -27.51778,153.074356","31 May 1884","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129036&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129037","http://hdl.handle.net/10462/deriv/78035"
