Title,Description,Lat,Lon,Link,ID
"Monte Video Estate, Windsor","Plan of allotments to be sold, 22nd June, 1929.",-27.435356,153.025818,http://hdl.handle.net/10462/deriv/251855,996971664702061
"East Cooparoo Estate, Parish of Bulimba, County of Stanley",Plan of allotments to be sold privately.;Estate covers area now in Camp Hill.;Surveyor: W.H. Chambers.;Estate agent: A. McNish Fraser.,-27.489029,153.080792,http://hdl.handle.net/10462/deriv/251864,996971674702061
Albion Hill [Estate],Plan of allotments to be sold by auction on the ground Saturday 28th October 1899.;Estate covers area now in Albion and Clayfield.,-27.427281,153.045216,http://hdl.handle.net/10462/deriv/207313,996970344702061
The Gem of the Pacific Estate,Plan of allotments to be sold [1920?],-28.048662,153.437554,http://hdl.handle.net/10462/deriv/251723,996970304702061
Cribb Estate,"Plan of 211 allotments to be sold in an area between Blackstone Road, Grange Road, Idolwood Street and Whitehill Road in Ipswich, Queensland.",-27.62152,152.776736,http://hdl.handle.net/10462/deriv/341226,996970314702061
Rosewood Estate,Plan of allotments to be sold on the ground Saturday 22nd May 1920 at 11 o'clock.,-27.642592,152.599154,http://hdl.handle.net/10462/deriv/251724,996970324702061
Coorparoo Heights,"Plan of allotments to be sold on the ground on Saturday 21st October 1916'.;Estate covers area (Marth Street, Newman Avenue and Waverley Road) now in Camp Hill.;At head of title: Absolutely the finest estate near Brisbane.",-27.498525,153.072695,http://hdl.handle.net/10462/deriv/251725,996970334702061
Old Racecourse estate,"Plan of allotments to be sold 13th July, 1901 at 2.30 o'clock.",-27.621338,152.77354,http://hdl.handle.net/10462/deriv/251847,996971634702061
"Coronation Park, Morningside","Plan of allotments to be sold on the ground on Saturday 21st July, 1923 at 3 pm.;""H.T. James, Litho"" -- base of map.",-27.473647,153.079011,http://hdl.handle.net/10462/deriv/251854,996971654702061
Canungra estate and township,"With locality map.;Plan of allotments to be sold 1st May [Township], 2nd May [Farms], 1916.;Title of map on verso: Canungra Township.;With 6 b&w photographs of area.",-28.019579,153.165576,http://hdl.handle.net/10462/comp/1346,996970704702061
"Suggested subdivision of resubs 10 to 14 of sub 2 of portion 30, Parish of Gilston",Plan of suggested allotments resubdivisions 10 to 14 of subdivision 2 of portion 30.;Plan of allotments to be sold.;Blueprint.,-28.003314,153.427871,http://hdl.handle.net/10462/deriv/251706,996970714702061
